Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward,Correct
15941,B4_LC,PC,GW,1,1,1.0,1.0,1
15942,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15943,B4_LC,PC,GW,1,1,1.0,1.0,1
15944,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15945,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15946,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15947,B4_LC,PC,GW,1,1,1.0,1.0,1
15948,B4_LC,PC,GW,1,1,1.0,1.0,1
15949,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15950,B4_LC,PC,GW,1,1,1.0,1.0,1
15951,B4_LC,PC,GW,1,1,1.0,1.0,1
15952,B4_LC,PC,GW,1,1,1.0,1.0,1
15953,B4_LC,PI,NW,1,0,1.0,0.0,0
15954,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
15955,B4_LC,PC,GW,1,1,1.0,1.0,1
15956,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15957,B4_LC,PC,GW,1,1,1.0,1.0,1
15958,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15959,B4_LC,PC,GW,1,1,1.0,1.0,1
15960,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15961,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
15962,B4_LC,PC,GW,1,1,1.0,1.0,1
15963,B4_LC,PC,GW,1,1,0.0,0.0,0
15964,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15965,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15966,B4_LC,PC,GW,1,1,1.0,1.0,1
15967,B4_LC,PI,NW,1,0,0.0,1.0,1
15968,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15969,B4_LC,PC,GW,1,1,1.0,1.0,1
15970,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15971,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15972,B4_LC,PC,GW,1,1,1.0,1.0,1
15973,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15974,B4_LC,PI,NW,1,0,0.0,1.0,1
15975,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15976,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15977,B4_LC,PC,GW,1,1,1.0,1.0,1
15978,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15979,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15980,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15981,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15982,B4_LC,PC,GW,1,1,1.0,1.0,1
15983,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15984,B4_LC,PI,NW,1,0,1.0,0.0,0
