"userId","trialNumber","stimulus","knocked","scoreChange"
210483,13,1,1,50
210483,14,1,1,50
210483,15,2,1,0
210483,16,1,1,50
210483,17,3,0,0
210483,18,1,1,50
210483,19,4,1,0
210483,20,1,1,50
210483,21,4,1,0
210483,22,3,0,0
210483,23,1,1,50
210483,24,3,1,-50
210483,25,4,1,0
210483,26,1,1,50
210483,27,2,0,-50
210483,28,2,0,-50
210483,29,2,0,0
210483,30,1,1,50
210483,31,4,1,-50
210483,32,4,1,-50
210483,33,4,1,0
210483,34,4,1,0
210483,35,1,0,0
210483,36,4,1,0
210483,37,1,0,0
210483,38,3,1,-50
210483,39,1,1,50
210483,40,4,1,0
210483,41,3,1,0
210483,42,2,0,-50
210483,43,2,0,-50
210483,44,2,1,0
210483,45,4,1,0
210483,46,3,0,0
210483,47,4,1,0
210483,48,4,1,0
210483,49,2,0,-50
210483,50,3,1,-50
210483,51,2,0,-50
210483,52,3,1,0
210483,53,4,1,0
210483,54,3,1,-50
210483,55,2,0,-50
210483,56,1,1,50
210483,57,4,1,-50
210483,58,2,0,-50
210483,59,2,1,0
210483,60,4,1,-50
210483,61,1,0,0
210483,62,1,1,50
210483,63,4,1,0
210483,64,2,1,0
210483,65,3,0,0
210483,66,3,0,0
210483,67,3,0,0
210483,68,2,0,-50
210483,69,2,1,0
210483,70,1,1,50
210483,71,2,1,0
210483,72,4,1,0
210483,73,1,1,50
210483,74,4,0,50
210483,75,4,0,0
210483,76,4,0,50
210483,77,1,1,50
210483,78,2,1,0
210483,79,3,0,0
210483,80,2,1,0
220109,1,4,1,0
220109,2,2,0,-50
220109,3,3,1,-50
220109,4,4,1,0
220109,5,4,0,50
220109,6,1,1,50
220109,7,1,1,0
220109,8,2,0,0
220109,9,3,1,-50
220109,10,1,1,50
220109,11,1,1,0
220109,12,3,1,0
220109,13,2,1,0
220109,14,2,1,0
220109,15,4,1,0
220109,16,3,1,0
220109,17,3,1,-50
220109,18,2,1,0
220109,19,2,1,0
220109,20,1,1,50
220109,21,4,1,0
220109,22,1,1,0
220109,23,1,1,50
220109,24,3,1,-50
220109,25,1,1,50
220109,26,1,1,50
220109,27,1,1,50
220109,28,3,1,-50
220109,29,3,1,0
220109,30,3,1,-50
220109,31,2,1,0
220109,32,2,1,0
220109,33,1,1,50
220109,34,4,1,0
220109,35,1,1,50
220109,36,2,1,0
220109,37,1,1,50
220109,38,1,1,50
220109,39,4,1,0
220109,40,3,1,-50
220109,41,4,1,0
220109,42,4,1,-50
220109,43,2,0,-50
220109,44,4,0,50
220109,45,2,1,0
220109,46,2,0,-50
220109,47,1,1,0
220109,48,3,1,-50
220109,49,2,0,-50
220109,50,2,1,0
220109,51,4,1,0
220109,52,4,1,0
220109,53,3,1,-50
220109,54,2,1,0
220109,55,3,1,-50
220109,56,1,1,50
220109,57,2,1,0
220109,58,4,1,0
220109,59,1,1,50
220109,60,3,1,0
220109,61,2,1,0
220109,62,2,1,50
220109,63,4,1,0
220109,64,1,1,50
220109,65,3,1,-50
220109,66,4,0,50
220109,67,3,0,0
220109,68,1,0,0
220109,69,4,0,50
220109,70,4,0,50
220109,71,3,0,0
220109,72,4,0,0
220109,73,4,0,0
220109,74,4,0,50
220109,75,3,0,0
220109,76,2,0,-50
220109,77,3,0,0
220109,78,3,0,0
220109,79,1,1,50
220109,80,2,1,0
220218,37,3,0,0
220218,38,1,1,0
220218,39,4,1,0
220218,40,4,0,50
220218,50,3,0,50
220218,51,2,1,0
220218,52,1,1,50
220218,53,2,0,-50
220218,54,3,0,0
220218,55,3,0,0
220218,56,2,1,0
220218,57,3,0,0
220218,58,1,1,50
220218,72,1,1,50
220218,73,4,1,0
220218,74,1,1,50
220218,75,3,0,0
220218,76,4,1,0
220218,77,1,1,50
220218,78,2,1,0
220218,79,2,0,-50
220218,80,2,1,0
220218,41,2,1,0
220218,42,1,1,0
220218,43,3,0,0
220218,44,2,0,-50
220218,45,1,1,50
220218,46,2,1,0
220218,47,4,1,-50
220218,48,2,0,-50
220218,49,3,0,50
220218,88,1,1,50
220218,89,2,1,0
220218,90,4,1,0
220218,91,1,1,50
220218,92,2,1,0
220218,93,3,0,0
220218,94,3,0,50
220218,95,2,1,0
220218,96,3,0,0
220218,97,2,1,50
220218,98,2,1,0
220218,99,4,1,0
220218,100,3,0,0
220218,1,1,1,50
220218,2,2,1,0
220218,3,4,0,50
220218,4,4,0,0
220218,5,3,0,50
220218,6,2,1,0
220218,7,2,1,0
220218,8,4,1,-50
220218,9,4,0,50
220218,10,1,1,50
220218,11,4,0,50
220218,12,4,0,50
220218,13,4,0,50
220218,14,3,0,0
220218,15,4,0,0
220218,16,2,1,0
220218,17,4,0,0
220218,18,3,0,50
220218,19,3,0,0
220218,20,4,0,50
220218,21,1,1,50
220218,22,4,0,50
