Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward,Correct
289,B4_LC,PC,NAL,-1,0,0.0,0.0,1
290,B4_LC,PI,GAL,-1,1,1.0,0.0,1
291,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
292,B4_LC,PC,GW,1,1,1.0,1.0,1
293,B4_LC,PI,GAL,-1,1,1.0,0.0,1
294,B4_LC,PC,NAL,-1,0,0.0,0.0,1
295,B4_LC,PC,NAL,-1,0,0.0,0.0,1
296,B4_LC,PC,GW,1,1,1.0,1.0,1
297,B4_LC,PC,GW,1,1,0.0,0.0,0
298,B4_LC,PC,GW,1,1,1.0,1.0,1
299,B4_LC,PI,GAL,-1,1,1.0,0.0,1
300,B4_LC,PI,GAL,-1,1,1.0,0.0,1
